property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
2794766,3794,https://www.zameen.com/Property/gor_gor_1_five_star_real_estate_offer_house_for_dignitaries-2794766-3794-1.html,House,620000000,GOR,Lahore,Punjab,31.543430999999998,74.344225,8,6.5 Kanal,For Sale,8,05-03-2019,Punjaab Estates,Irfan Rehman Khan,Kanal,6.5,5-10 Kanal
2801879,1494,https://www.zameen.com/Property/lahore_karim_park_2_5_marla_house_for_sale-2801879-1494-1.html,House,5500000,Karim Park,Lahore,Punjab,31.590234000000002,74.300365,3,2.5 Marla,For Sale,3,06-11-2019,,,Marla,2.5,0-5 Marla
2821111,154,https://www.zameen.com/Property/gulberg_zafar_ali_road_1_kanal_house_for_sale_in_gulberg_zafar_ali_road_lahore-2821111-154-1.html,House,50000000,Gulberg,Lahore,Punjab,31.538420000000002,74.352357,6,1 Kanal,For Sale,5,07-03-2019,Hamza Real Estate,Imran Shahad,Kanal,1.0,1-5 Kanal
2913869,3089,https://www.zameen.com/Property/cantt_ali_park_8_marla_dream_corner_house_for_urgent_for_sale_45_feet_wide_face-2913869-3089-1.html,House,12000000,Cantt,Lahore,Punjab,31.49858,74.40926999999999,6,8 Marla,For Sale,6,12-05-2018,,,Marla,8.0,5-10 Marla
3051476,373,https://www.zameen.com/Property/lahore_valencia_housing_society_a_home_you_desire_to_live-3051476-373-1.html,House,65000000,Valencia Housing Society,Lahore,Punjab,31.40537,74.257078,0,2 Kanal,For Sale,0,06-02-2019,Punjaab Estates,Irfan Rehman Khan,Kanal,2.0,1-5 Kanal
3217881,3852,https://www.zameen.com/Property/gulberg_main_boulevard_gulberg_house_for_sale_ideal_for_mega_multi_billion_project-3217881-3852-1.html,House,1250000000,Gulberg,Lahore,Punjab,31.519434999999998,74.345548,0,8 Kanal,For Sale,0,02-03-2019,Punjaab Estates,Irfan Rehman Khan,Kanal,8.0,5-10 Kanal
3222456,893,https://www.zameen.com/Property/lahore_gulshan_e_ravi_22_marla_house_for_sale-3222456-893-1.html,House,42500000,Gulshan-e-Ravi,Lahore,Punjab,31.551184000000003,74.284058,8,1.1 Kanal,For Sale,8,04-04-2019,,,Kanal,1.1,1-5 Kanal
3242351,4280,https://www.zameen.com/Property/valencia_housing_society_valencia_block_h_house_for_sale__best_for_commercial_purposes-3242351-4280-1.html,House,66500000,Valencia Housing Society,Lahore,Punjab,31.400096,74.259682,0,2 Kanal,For Sale,0,04-03-2019,Punjaab Estates,Irfan Rehman Khan,Kanal,2.0,1-5 Kanal
3277952,8444,https://www.zameen.com/Property/al_raheem_garden_al_raheem_garden_phase_4_brand_new_6_marla_corner_fully_covered_house-3277952-8444-1.html,House,12000000,Al-Raheem Garden,Lahore,Punjab,31.597234000000004,74.474513,5,6 Marla,For Sale,5,07-03-2019,,,Marla,6.0,5-10 Marla
3292607,3745,https://www.zameen.com/Property/eme_society_eme_society_block_a_double_storey_house_for_sale_in_eme-3292607-3745-1.html,House,40000000,EME Society,Lahore,Punjab,31.437744,74.21349000000001,7,1 Kanal,For Sale,6,04-04-2019,,,Kanal,1.0,1-5 Kanal
3341826,3824,https://www.zameen.com/Property/gulberg_gulberg_3_4_kanal_15_marla_old_house_is_available_for_sale_gulberg_3_lahore-3341826-3824-1.html,House,180000000,Gulberg,Lahore,Punjab,31.505678000000003,74.348202,7,4.7 Kanal,For Sale,5,07-03-2019,Hamza Real Estate,Imran Shahad,Kanal,4.7,1-5 Kanal
3442797,4349,https://www.zameen.com/Property/lahore_mateen_avenue_house_available_for_sale-3442797-4349-1.html,House,17000000,Mateen Avenue,Lahore,Punjab,31.441992,74.291389,6,9.7 Marla,For Sale,5,03-05-2019,,,Marla,9.7,5-10 Marla
3463063,3748,https://www.zameen.com/Property/eme_society_eme_society_block_d_21st_century_house_for_sale-3463063-3748-1.html,House,47500000,EME Society,Lahore,Punjab,31.434668,74.214005,0,1 Kanal,For Sale,0,05-03-2019,Punjaab Estates,Irfan Rehman Khan,Kanal,1.0,1-5 Kanal
3507838,4113,https://www.zameen.com/Property/paragon_city_paragon_city_orchard_block_house_is_available_for_sale-3507838-4113-1.html,House,17000000,Paragon City,Lahore,Punjab,31.530739,74.456184,5,10 Marla,For Sale,5,06-11-2019,Valo Marketing,Nabeel Khalid Ch M Naveed Muhammad Bin Shahid,Marla,10.0,5-10 Marla
3541183,8425,https://www.zameen.com/Property/lahore_iep_engineers_town_good_location_double_storey_house_in_iep_engineering_town_on_main_defence_road-3541183-8425-1.html,House,25000000,IEP Engineers Town,Lahore,Punjab,31.402513,74.292798,5,18 Marla,For Sale,4,02-01-2019,,,Marla,18.0,15-20 Marla
1422699,1156,https://www.zameen.com/Property/faisalabad_muslim_town_five_marla_beautiful_house_for_sale-1422699-1156-1.html,House,8500000,Muslim Town,Faisalabad,Punjab,31.470052022248996,73.088285923004,5,5 Marla,For Sale,4,07-17-2019,,,Marla,5.0,0-5 Marla
2502517,1230,https://www.zameen.com/Property/millat_town_clock_tower_house_is_available_for_sale-2502517-1230-1.html,House,25000000,Millat Town,Faisalabad,Punjab,31.490612,73.10647,6,1.2 Kanal,For Sale,5,07-03-2019,,,Kanal,1.2,1-5 Kanal
2799588,5036,https://www.zameen.com/Property/faisalabad_raza_abad_corner_house_for_sale-2799588-5036-1.html,House,6000000,Raza Abad,Faisalabad,Punjab,31.425990000000002,73.04821700000001,2,2.5 Marla,For Sale,4,06-19-2019,,,Marla,2.5,0-5 Marla
3130278,419,https://www.zameen.com/Property/satiana_road_tech_town__tnt_colony__triple_storey_house_is_available_for_sale-3130278-419-1.html,House,60000000,Satiana Road,Faisalabad,Punjab,31.372179,73.12559399999999,6,1.6 Kanal,For Sale,6,02-17-2019,Ibraheem Associates,Miss Noor ul Huda,Kanal,1.6,1-5 Kanal
425947,1406,https://www.zameen.com/Property/rawalpindi_humak_house_is_available_for_sale-425947-1406-1.html,House,13500000,Humak,Rawalpindi,Punjab,33.538462,73.144913,4,7 Marla,For Sale,5,04-05-2019,,,Marla,7.0,5-10 Marla
